obj_name,obj_type,sub_name,sub_type,rel_name,rel_type
水稻,名称,稻苗疫病,疾病名称,水稻病害,病害类型
水稻,名称,烂秧病,疾病名称,水稻病害,病害类型
水稻,名称,霜霉病,疾病名称,水稻病害,病害类型
水稻,名称,白绢病,疾病名称,水稻病害,病害类型
水稻,名称,稻瘟病,疾病名称,水稻病害,病害类型
水稻,名称,胡麻斑病,疾病名称,水稻病害,病害类型
水稻,名称,叶鞘腐败病,疾病名称,水稻病害,病害类型
水稻,名称,紫鞘病,疾病名称,水稻病害,病害类型
水稻,名称,叶鞘网斑病,疾病名称,水稻病害,病害类型
水稻,名称,叶黑肿病,疾病名称,水稻病害,病害类型
水稻,名称,菌核秆腐病,疾病名称,水稻病害,病害类型
水稻,名称,纹枯病,疾病名称,水稻病害,病害类型
水稻,名称,云形病,疾病名称,水稻病害,病害类型
水稻,名称,叶尖枯病,疾病名称,水稻病害,病害类型
水稻,名称,窄条斑病,疾病名称,水稻病害,病害类型
水稻,名称,谷枯病,疾病名称,水稻病害,病害类型
水稻,名称,一柱香病,疾病名称,水稻病害,病害类型
水稻,名称,稻粒黑粉病,疾病名称,水稻病害,病害类型
水稻,名称,稻曲病,疾病名称,水稻病害,病害类型
水稻,名称,白叶枯病,疾病名称,水稻病害,病害类型
水稻,名称,细菌性条斑病,疾病名称,水稻病害,病害类型
水稻,名称,细菌性谷枯病,疾病名称,水稻病害,病害类型
水稻,名称,细菌性基腐病,疾病名称,水稻病害,病害类型
水稻,名称,细菌性褐斑病,疾病名称,水稻病害,病害类型
水稻,名称,细菌性褐条病,疾病名称,水稻病害,病害类型
水稻,名称,黄叶病,疾病名称,水稻病害,病害类型
水稻,名称,条纹叶枯病,疾病名称,水稻病害,病害类型
水稻,名称,齿矮病,疾病名称,水稻病害,病害类型
水稻,名称,矮缩病,疾病名称,水稻病害,病害类型
水稻,名称,东格鲁病毒病,疾病名称,水稻病害,病害类型
水稻,名称,黄萎病,疾病名称,水稻病害,病害类型
水稻,名称,赤枯病,疾病名称,水稻病害,病害类型
水稻,名称,干尖线虫病,疾病名称,水稻病害,病害类型
水稻,名称,根结线虫病,疾病名称,水稻病害,病害类型
水稻,名称,倒伏,疾病名称,水稻病害,病害类型
水稻,名称,低温冷害,疾病名称,水稻病害,病害类型
水稻,名称,高温热害,疾病名称,水稻病害,病害类型
水稻,名称,营养障碍,疾病名称,水稻病害,病害类型
水稻,名称,黑条矮缩病,疾病名称,水稻病害,病害类型
水稻,名称,青枯病,疾病名称,水稻病害,病害类型
水稻,名称,三化螟,疾病名称,水稻害虫,病害类型
水稻,名称,二化螟,疾病名称,水稻害虫,病害类型
水稻,名称,大螟,疾病名称,水稻害虫,病害类型
水稻,名称,稻纵卷叶螟,疾病名称,水稻害虫,病害类型
水稻,名称,显纹纵卷叶螟,疾病名称,水稻害虫,病害类型
水稻,名称,褐边螟,疾病名称,水稻害虫,病害类型
水稻,名称,台湾稻螟,疾病名称,水稻害虫,病害类型
水稻,名称,稻筒水螟,疾病名称,水稻害虫,病害类型
水稻,名称,稻水螟,疾病名称,水稻害虫,病害类型
水稻,名称,稻金翅夜蛾,疾病名称,水稻害虫,病害类型
水稻,名称,稻巢螟,疾病名称,水稻害虫,病害类型
水稻,名称,直纹稻弄蝶,疾病名称,水稻害虫,病害类型
水稻,名称,稻瘿蚊,疾病名称,水稻害虫,病害类型
水稻,名称,稻秆潜蝇,疾病名称,水稻害虫,病害类型
水稻,名称,菲岛毛眼水蝇,疾病名称,水稻害虫,病害类型
水稻,名称,稻潜叶蝇,疾病名称,水稻害虫,病害类型
水稻,名称,稻绿蝽,疾病名称,水稻害虫,病害类型
水稻,名称,大稻缘蝽,疾病名称,水稻害虫,病害类型
水稻,名称,稻棘缘蝽,疾病名称,水稻害虫,病害类型
水稻,名称,长肩棘缘熔和短肩棘缘蝽,疾病名称,水稻害虫,病害类型
水稻,名称,大绿蝽,疾病名称,水稻害虫,病害类型
水稻,名称,稻黑蝽,疾病名称,水稻害虫,病害类型
水稻,名称,稻褐飞虱,疾病名称,水稻害虫,病害类型
水稻,名称,白背飞虱,疾病名称,水稻害虫,病害类型
水稻,名称,灰飞虱,疾病名称,水稻害虫,病害类型
水稻,名称,长绿飞虱,疾病名称,水稻害虫,病害类型
水稻,名称,黑尾叶蝉,疾病名称,水稻害虫,病害类型
水稻,名称,白翅叶蝉,疾病名称,水稻害虫,病害类型
水稻,名称,电光叶蝉,疾病名称,水稻害虫,病害类型
水稻,名称,小绿叶蝉,疾病名称,水稻害虫,病害类型
水稻,名称,稻简管蓟马,疾病名称,水稻害虫,病害类型
水稻,名称,稻直鬃蓟马,疾病名称,水稻害虫,病害类型
水稻,名称,花蓟马,疾病名称,水稻害虫,病害类型
水稻,名称,禾蓟马,疾病名称,水稻害虫,病害类型
水稻,名称,端大蓟马,疾病名称,水稻害虫,病害类型
水稻,名称,田蚜虫,疾病名称,水稻害虫,病害类型
水稻,名称,稻田粘虫,疾病名称,水稻害虫,病害类型
水稻,名称,中华稻蝗,疾病名称,水稻害虫,病害类型
水稻,名称,芋蝗,疾病名称,水稻害虫,病害类型
水稻,名称,稻白粉虱,疾病名称,水稻害虫,病害类型
水稻,名称,稻赤斑沫蝉,疾病名称,水稻害虫,病害类型
水稻,名称,稻眼蝶,疾病名称,水稻害虫,病害类型
水稻,名称,山稻蝗,疾病名称,水稻害虫,病害类型
水稻,名称,稻负泥甲,疾病名称,水稻害虫,病害类型
水稻,名称,稻铁甲虫,疾病名称,水稻害虫,病害类型
水稻,名称,稻象甲,疾病名称,水稻害虫,病害类型
水稻,名称,周斑水虹,疾病名称,水稻害虫,病害类型
